Acronym,Term,Definition
 LD,Logistics Demonstration,"A part of developmental test and evaluation (DT&E) used to evaluate the adequacy of the system support package and ensure the user unit has the logistical capability to achieve initial operational capability (IOC). A logistics demonstration includes the nondestructive disassembly and reassembly of a production representative system using its related peculiar test, measurement, and diagnostic equipment (TMDE); tools; training devices; technical publications; and support equipment."
 LFP,Logistics Funding Profile,That portion of the program budget necessary to execute the acquisition logistics plan.
 LMI,Logistics Management Information,The documentation associated with Supportability Analysis (SA) efforts.
,Logistics Product Data,​That portion of Product Support Analysis (PSA) documentation consisting of detailed data pertaining to the identification of Product Support resource requirements of a product.
 LS,Logistics Support,"Encompasses the logistics services, materiel, and transportation required to support the continental U.S.-based and worldwide-deployed forces."
,"Logistics Support, Supplies, and Services","These terms refer to any or all of the following—food, billeting, transportation, petroleum, oils, lubricants, clothing, communications services, medical services, ammunition, base operations support (and construction incident to base operations support), storage services, use of facilities, training services, spare parts and components, repair and maintenance services, and port services."
,Logistics Supportability,The degree of ease to which system design characteristics and planned logistics resources (including the logistics support (LS) elements) allow for the meeting of system availability and wartime usage requirements.
 LLI,Long Lead Item / Long Lead Time Materials,"Those components of a system or piece of equipment for which the times to design and fabricate are the longest, and therefore, to which an early commitment of funds may be desirable to complete the system by the earliest possible."
,Long Range Investment Plans,Broad plans based on best estimates of future top-line fiscal resources that form the basis for making long-range affordability assessments of acquisition programs.
,LORA (MTA),"The process used to identify the steps within, and the associated resources and personnel skill levels for, corrective and preventive maintenance tasks required to support a system."
,Lot,"A specific quantity of materiel manufactured under identical conditions and assigned an identifying lot number for use, technical, manufacturing, production, and supply purposes."
,Lot Acceptance,A test based on a sampling procedure to ensure that the product retains its quality. No acceptance or installation of a lot should be permitted until a lot acceptance test has been successfully completed.
 LRIP,Low Rate Initial Production,"The first part of the Production and Deployment (P&D) phase. LRIP is intended to result in completion of manufacturing development in order to ensure adequate and efficient manufacturing capability and to produce the minimum quantity necessary to provide production or production-representative articles for Initial Operational Test and Evaluation (IOT&E); establish an initial production base for the system; and permit an orderly increase in the production rate for the system, sufficient to lead to Full-Rate Production (FRP) upon successful completion of operational (and live-fire, where applicable) testing."
,Low Rate Initial Production Quantity,"The minimum quantity needed to provide production representative test articles for operational test and evaluation (OT&E) (as determined by DOT&E for MDAPS or special interest programs), to establish an initial production base for the system and provide efficient ramp up to full-rate production, and to maintain continuity in production pending completion of operational testing.. For MDAPs and major systems, the MDA determines the preliminary LRIP quantity (or limited deployment scope for MAIS programs) at the Development RFP Release Decision Point. The final LRIP quantity for an MDAP (with rationale for quantities exceeding 10 percent of total production quantity documented in the Acquisition Strategy) must be included in the first Selected Acquisition Report submitted to Congress after quantity determination. For a system that is not on the Oversight List, the service Operational Test Agency in consultation with the PM, determines the number of test articles required for IOT&E."
 LPTA,Lowest Price Technically Acceptable,"A source selection process that is appropriate when best value is expected from selecting the technically acceptable proposal with the lowest price. The following factors apply when using LPTA: (1) Evaluation factors and significant subfactors that establish the requirements of acceptability shall be set forth in the solicitation, and (2) Tradeoffs are not permitted."
,M-Day,The day on which mobilization is to begin.
,Machine Element,"A work cycle subdivision that is distinct, describable, and measurable. The time is entirely controlled by a machine, and therefore, not influenced by the worker's skill or effort."
,Machine Language,A low-level computer language that can be recognized by the processing unit of a computer. Such a language usually consists of patterns of 1s and 0s. Higher-order languages (HOLs) typically use compilers to translate source code to machine language.
,Machine-Controlled Time,That part of a work cycle that is entirely controlled by a machine and therefore is not influenced by the skill or effort of the worker.
,Maintainability,"The ability of an item to be retained in, or restored to, a specified condition when maintenance is performed by personnel having specified skill levels, using prescribed procedures and resources, at each prescribed level of maintenance and repair."
,Maintenance,"1. All action, including inspection, testing, servicing, classification as to serviceability, repair, rebuilding, and reclamation, taken to retain materiel in a serviceable condition or to restore it to serviceability. 2. All supply and repair action taken to keep a force in condition to carry out its mission. 3. The routine recurring work required to keep a facility in such condition that it may be continuously used at its original or designed capacity and efficiency for its intended purpose."
,Maintenance Concept,"A brief description of maintenance considerations, constraints, and plans for operational support of the system/equipment under development. A preliminary maintenance concept is developed and submitted as part of the preliminary system operational concept for each alternative solution candidate by the operating command with the assistance of the implementing and supporting commands. A major driver in designing the system/equipment and the support planned."
,Maintenance Levels,"DoD recognizes two levels of maintenance: Field level and Depot level maintenance. Field-level is comprised of both organizational maintenance, which includes inspections, servicing, handling, preventive and corrective maintenance, and Intermediate Maintenance, which includes assembly and disassembly beyond the capability of the organizational level. Depot-level maintenance includes any action performed on materiel or software in the conduct of inspection, repair, overhaul, or the modification or rebuild of end-items, assemblies, subassemblies, and parts. Depot level maintenance generally requires extensive industrial facilities, specialized tools and equipment, or uniquely experienced and trained personnel that are not available in lower echelon-level maintenance activities."
,Maintenance Plan,"A more detailed description of maintenance decisions on each repairable item candidate within the system Work Breakdown Structure (WBS). There typically are a family of maintenance plans covering each major subsystem, e.g., the radar subsystem and hydraulic subsystem. The maintenance plan is based on the Level of Repair Analysis (LORA) and is the basis for each of the Integrated Product Support Elements."
,Maintenance Planning,The process conducted to evolve and establish maintenance/support concepts and requirements for the life cycle of a materiel system. One of the traditional elements of logistics support (LS).
,Maintenance Planning and Management,"One of the 12 Integrated Product Support (IPS) Elements. Maintenance Planning and Management establishes maintenance concepts and requirements for the life of the system for both hardware and software. It includes: • Levels of repair • Repair times • Testability requirements • Support equipment needs • Training and Training Aids, Devices, Simulators and Simulations (TADSS) • Manpower skills • Facilities • Inter-service, organic and contractor mix of repair responsibility • Deployment Planning/Site activation • Development of preventive maintenance programs using reliability centered maintenance • Condition Based Maintenance Plus (CBM+) • Diagnostics/Prognostics and Health Management • Sustainment • PBL planning • Post production software support"
,Maintenance Ratio,A measure of the total maintenance manpower burden required to maintain an item. It is expressed as the cumulative number of labor hours of maintenance expended in direct labor during a given period of the life units divided by the cumulative number of end item life units during the same period.
,Maintenance Task Analysis,"The process used to identify the steps within, and the associated resources and personnel skill levels for, corrective and preventive maintenance tasks required to support a system."
,Major Assembly,An operation in the construction of a section that joins a number of subassemblies.
 MAR,Major Automated Information System Annual Report,"An annual budget justification document reporting cost, schedule, and performance parameters for each major automated information system (MAIS)—whether baselined or unbaselined—for which funds are requested in the President's Budget. The initial submittal of these parameters constitutes the “Original Estimate” for purposes of quarterly reporting of variances and determination of Significant and Critical Changes according to Title 10 USC, § 2445c."
,Major Automated Information System Critical Change,"Any one of the following constitutes a Critical Change to a Major Automated Information System: 1) Cost growth of 25% or more compared to the initial baseline; 2) Schedule growth of one year of more compared to the baseline schedule; or failure to achieve a Full Deployment Decision (FDD) within 5 years of Milestone A, or if no Milestone A was conducted, 5 years after the preferred alternative was selected (excluding bid protest time); 3) Performance that undermines the ability of the system to perform the mission as originally intended (e.g. failure to meet a Key Performance Parameter (KPP))."
,Major Automated Information System Critical Change Report And Certification,A written report to the congressional defense committees not later than 60 days after a Major Automated Information System (MAIS) Quarterly Report (MQR) indicates that a Critical Change has occurred in accordance with 10 United States Code (U.S.C.) §2445c (d). The Critical Change Report conveys the results of a program evaluation and contains Certifications by the Senior Official regarding continuing viability of the program.
 MQR,Major Automated Information System Quarterly Report,"A written report to the Senior Official responsible for a MAIS program identifying any variance in cost, schedule, or performance parameters from the Original Estimate (which was established by submittal of a MAIS Annual Report (MAR) or Critical Change Report to Congress under 10 U.S.C. 2445b or 2445c(d), respectively). The Quarterly Report alerts the Senior Official to Significant and Critical Changes, and is submitted via the Defense Acquisition Executive Summary (DAES) process."
,Major Automated Information System Significant Change,Any one of the following constitutes a Significant Change to a Major Automated Information System: 1) Cost growth of 15-25% compared to the initial baseline; 2) Schedule growth of 6 months to 1 year of more compared to the baseline schedule; 3) Performance – significant adverse change in expected performance.
,Major Automated Information System Significant Change Notification,A written notification to the congressional defense committees not later than 45 days after a Major Automated Information System (MAIS) Quarterly Report (MQR) indicates that a Significant Change has occurred in accordance with 10 United States Code (U.S.C.) §2445c (c).
 MBI,Major Budget Issue,"A top-level Service appeal of an Office of the Secretary of Defense (OSD) Resource Management Decision (RMD) affecting a Service program, or programs, from the Service Secretary directly to the Secretary of Defense (SECDEF). The Service is usually required to provide funding offsets from other programs within the Service to “buy back” programs cited as MBIs."
,Major Capability Acquisition,"To acquire and modernize military unique programs that provide enduring capability. These acquisitions typically follow a structured analyze, design, develop, integrate, test, evaluate, produce, and support approach. This process is designed to support major defense acquisition programs, major systems, and other complex acquisitions. Acquisition and product support processes, reviews, and documentation will be tailored based on the program size, complexity, risk, urgency, and other factors. Software-intensive components may be acquired via the software acquisition pathway, with the outputs and dependencies integrated with the overall major capability pathway. One of several acquisition pathways of the Adaptive Acquisition Framework (AAF)."
 MDAP(s),Major Defense Acquisition Program (MDAP),"A Department of Defense acquisition program that is not a highly sensitive classified program (as determined by the Secretary of Defense) and— (1)that is designated by the Secretary of Defense as a major defense acquisition program; or (2)in the case of a program that is not a program for the acquisition of an automated information system (either a product or a service), that is estimated by the Secretary of Defense to require— (A)an eventual total expenditure for research, development, test, and evaluation of more than $300,000,000 (based on fiscal year 1990 constant dollars); or (B)an eventual total expenditure for procurement, including all planned increments or spirals, of more than $1,800,000,000 (based on fiscal year 1990 constant dollars)."
 MFP,Major Force Program,"In the context of the Future Years Defense Program (FYDP), an MFP is an aggregation of program elements that reflects a force or support mission of DoD and contains the resources necessary to achieve an objective or plan. It reflects fiscal time-phasing of mission objectives to be accomplished and the means proposed for their accomplishment. The FYDP is composed of 11 major programs. Those considered combat forces programs are marked by an asterisk. (DoD 7045.7-H) See Future Years Defense Program (FYDP). Program 1—Strategic Forces* Program 2—General Purpose Forces* Program 3—Command, Control, Communications, Intelligence, and Space* Program 4—Mobility Forces* Program 5—Guard and Reserve Forces* Program 6—Research and Development Program 7—Central Supply and Maintenance Program 8—Training, Medical, and Other General Personnel Activities Program 9—Administration and Associated Activities Program 10—Support of Other Nations Program 11—Special Operations Forces*"
,Major System (DoD),"A combination of elements that will function together to produce the capabilities required to fulfill a mission need. The elements may include hardware, equipment, software, or any combination thereof, but excludes construction or other improvements to real property. A system shall be considered a major system if the dollar value is estimated by the DoD component head to require an eventual total expenditure for research, development, test and evaluation (RDT&E) of more than $200 million in Fiscal Year (FY) 2020 constant dollars, or for procurement of more than $920 million in FY 2020 constant dollars; or if the system is designated a ""major system"" by the head of the agency responsible for the system."
,Major System Component,"(A) means a high-level subsystem or assembly, including hardware, software, or an integrated assembly of both, that can be mounted or installed on a major system platform through modular system interfaces; and (B) includes a subsystem or assembly that is likely to have additional capability requirements, is likely to change because of evolving technology or threat, is needed for interoperability, facilitates incremental deployment of capabilities, or is expected to be replaced by another major system component."
,Major System Platform,The highest-level structure of a major weapon system that is not physically mounted or installed onto a higher-level structure and on which a major system component can be physically mounted or installed.
,Major Weapon System,A weapon system acquired pursuant to a major defense acquisition program.
,Make or Buy Programs,"That part of a contractor's written plan for developing or producing an end item that outlines the subsystems, major components, assemblies, subassemblies, and parts the contractor intends to manufacture, test-treat, or assemble (make), and those the contractor intends to purchase from others (buy)."
 MMI,Man-Machine Interface,"The actions, reactions, and interactions between humans and other system components. This also applies to a multistation, multiperson configuration or system. Term also defines the properties of the hardware, software or equipment which constitute conditions for interactions."
,Management and Support,"Research and Development (R&D) category 06 under Major Force Program (MFP) 6 of the Future Years Defense Program (FYDP). Includes R&D efforts directed toward support of installations or operations required for general R&D use. Test ranges, military construction and maintenance support of laboratories, operations and maintenance of test aircraft and ships, and studies and analyses in support of a R&D program are included in this category. Costs of laboratory personnel, either in-house or contractor-operated, would be assigned to appropriate projects or as a line item in the Research, Exploratory Development, or Advanced Development categories as appropriate."
,Management Control Objectives,"The goals, conditions, or levels of control a manager establishes to provide reasonable assurance that resources are safeguarded against waste, fraud, and mismanagement. For Major Defense Acquisition Programs (MDAPs), basic control objectives involve the ability to adhere to a weapon system's cost, schedule, and performance baseline parameters."
,Management Control Techniques,"Any form of organization, procedure, or document flow that is relied on to accomplish control objectives. For Major Defense Acquisition Programs (MDAPs), the milestone review information and periodic program status reports specified in DoDI 5000.02 provide adequate control techniques to achieve control objectives."
 MIS,Management Information System,"An orderly and disciplined accounting and reporting methodology, usually mechanized, which provides for the accurate recording of data, and the timely extrapolation and transmission of management information used in decision-making."
 MR,Management Reserve,"An amount of the Total Allocated Budget (TAB) withheld for management control purposes, rather than designated for accomplishing a specific task or set of tasks. It is not a part of the Performance Measurement Baseline (PMB). Synonymous with reserve."
,Mandatory Key Performance Parameters,"The following KPPs are mandatory for all Capability Development Documents (CDDs) and CDD updates unless the Sponsor provides appropriate justification why the KPP is not appropriate: Force Protection (FP), System Survivability (SS), Sustainment, and Energy.They are designated as mandatory KPPs IAW the applicable provisions of federal law under Title 10 U.S.C. Nuclear Survivability KPPs are mandatory for systems covered under DoDD S-5210.81, U.S. Nuclear Weapons Command, Control, Safety and Security."
,Mandatory Key System Attributes,"For those programs for which a Sustainment Key Performance Parameter (KPP) is applicable, the Sustainment KPP has two primary components: Materiel Availability and Operational Availability, and three Mandatory Key System Attributes (KSAs), Reliability, Maintainability and Operating and Support (O&S) Cost."
,Manhour/Month/Year,The effort equal to that of one person during one hour/month/year.
,Manpower,"Total persons available and fitted for service. Indexed by requirements including jobs lists, slots, or billets characterized by descriptions of the required people to fill them."
 M&P,Manpower and Personnel,"One of the 12 Integrated Product Support (IPS) Elements. The identification and acquisition of personnel (military and civilian) with the skills and grades required to operate, maintain, and support systems over their lifetime. Early identification is essential. If the needed manpower is an additive requirement to existing manpower levels of an organization, a formalized process of identification and justification must be made to higher authority. The terms “Manpower” and “Personnel” are not interchangeable. Manpower represents the number of personnel or positions required to perform a specific task. Personnel is indicative of human aptitudes (i.e., cognitive, physical, and sensory capabilities), knowledge, skills, abilities, and experience levels that are needed to properly perform job tasks."
,Manpower Estimate,"An estimate of the most effective mix of DoD manpower and contract support for an acquisition program. Includes the number of personnel required to operate, maintain, support, and train for the acquisition upon full operational deployment. The estimate is included in the Cost Analysis Requirements Description (CARD) Independent Cost Estimate (ICE) at major milestones."
,Manpower Scheduling and Loading,Effective and efficient utilization and scheduling of available manpower according to individual skills to ensure required manufacturing operations are properly coordinated and executed.
,Manual Element,"A distinct, describable, and measurable subdivision of a work cycle or operation performed by one or more human motions that are not controlled by process or machine."
,Manufacturer,"Typically, a company that produces a product. Manufacturers are normally also vendors."
,Manufacturing,"The process of making an item using machinery, often on a large scale, and with division of labor."
,Manufacturing Engineering,"That specialty of professional engineering which applies engineering procedures to manufacturing processes and methods of production of industrial commodities and products. It requires the ability to plan the practices of manufacturing, to research and develop the tools, processes, machines and equipment, and to integrate the facilities and systems for producing quality products with optimal expenditure. Used in conjunction with design engineering and other functional engineering specialties to create a producible design, that is, a design that can be easily and economically produced."
,Manufacturing Management/Production Capability Review,The investigation conducted by the Government at prospective contractor facilities during the source selection process. The reviews are conducted to evaluate each competing contractor's capability to meet all immediate and future production requirements of proposed systems by considering the contractor's current and projected business. The review includes an assessment of the potential impact on cost due to inadequate manufacturing facilities.
 MRA,Manufacturing Readiness Assessment,"A structured evaluation of a technology, component, manufacturing process, weapon system or subsystem using Manufacturing Readiness Levels (MRLs). It is performed to define the current level of manufacturing maturity, identify maturity shortfalls and associated costs and risks and to provide the basis for manufacturing maturation and risk management."
 MRL,Manufacturing Readiness Level,"A measure used to assess the maturity of a given technology, component or system from a manufacturing prospective. The purpose of MRLs is to provide decision makers at all levels with a common understanding of the relative maturity and attendant risks associated with the manufacturing technologies, products, and processes under consideration. There are ten MRLs, with MRL 1 being the least mature and MRL 10 being the most mature."
 MT,Manufacturing Technology,"Refers to any action that has as its objective the timely establishment or improvement of the manufacturing processes, techniques, or equipment required to support current and projected programs, and the assurance of the availability to produce, reduce lead-time, ensure economic availability of end items, reduce costs, increase efficiency, improve reliability, or to enhance safety and anti-pollution measures."
,Market Research,"A process for gathering data on product characteristics, suppliers' capabilities, and the business practices that surround them. Includes the analysis of that data to inform acquisition decisions. There are two types of market research, strategic market research and tactical market research."
,Markup,Line-by-line review and approval/disapproval/modification of the defense budget by congressional committees.
,Material,"Elements, constituents, or substances of which something is composed or can be made. It includes, but is not limited to, raw and processed material, parts, components, assemblies, fuels, and other items that may be worked into a more finished form in performance of a contract."
,Material Specification,"Applicable to raw material (chemical compound), mixtures (cleaning agents, paints), or semi-fabricated material (electrical cable, copper tubing) used in the fabrication of a product. Normally, a material specification applies to production, but may be prepared to control the development of a material."
,Materials Handling,"The coordination and integration of all operations embracing packaging, protection, and short distance movement of materiel by available equipment."
,Materiel,"All items necessary to equip, operate, maintain, and support military activities without distinction as to its application for administrative or combat purposes."
 AM,Materiel Availability,"One of the components of the Sustainment Key Performance Parameter (KPP), defined as the percentage of the total inventory of a system operationally capable, based on materiel condition, of performing an assigned mission. This can be expressed mathematically as the number of operationally available end items/total population."
 MATDEV,Materiel Developer,"A command or agency responsible for research and development (R&D), production, and fielding of a new materiel system. (Primarily Army; however, also used in various DoD-level publications as a descriptive term for acquisition commands, agencies, and Program Offices (POs).)"
 MDD,Materiel Development Decision,"The mandatory entry point into the major capability acquisition process and is informed by a validated requirements document (e.g., an initial capabilities document (ICD) or equivalent) and the completion of the analysis of alternatives (AoA) study guidance and the AoA study plan. A successful MDD may approve entry into any acquisition phase of entry consistent with phase-specific and statutory requirements but will normally be followed by a Materiel Solution Analysis (MSA) phase. A successful MDD normally does not mean that a new acquisition program has been initiated."
,Materiel Fielding and Training,The action of checking out equipment functions and operator and maintenance personnel training after production and before turnover to users.
 MFP,Materiel Fielding Plan,Plan to ensure smooth transition of system from developer to user.
,Materiel Management,"Direction and control of those aspects of logistics that deal with materiel, including the functions of identification, cataloging, standardization, requirements determination, procurement, inspection, quality control, packaging, storage, distribution, disposal, maintenance, mobilization planning, industrial readiness planning, and item management classification. Encompasses materiel control, inventory control, inventory management, and supply management."
Materiel Reliability,Materiel Solution,"A new item (including ships, tanks, self-propelled weapons, aircraft, etc., and related spares, repair parts, and support equipment, but excluding real property, installations, and utilities), developed or purchased to satisfy one or more capability requirements (or needs) and reduce or eliminate one or more capability gaps."
,Materiel Solution Analysis (MSA) Phase,"The purpose of this phase is to conduct an Analysis of Alternatives and other activities needed to choose the concept for the product that will be acquired, to begin translating validated capability gaps into system-specific requirements, and to conduct planning to support a decision on the acquisition strategy for the product. An Analysis of Alternatives will be conducted and the initial Acquisition Strategy and draft Capability Development Document will be formulated. The Component Acquisition Executive will select a Program Manager and establish a Program Office to complete actions associated with planning the acquisition program preparing for the next decision point. This phase ends when the necessary analysis and activities necessary to support a decision to proceed to the next decision point/ phase in the acquisition process."
,Matrix Organization,Combines the advantages of the pure functional (traditional) structure and the product organizational structure. The program manager (PM) has total responsibility and accountability for program success. Functional managers provide technical and business assistance to the PM from outside the program management office (PMO).
,Maximum Production Rate,"Maximum rate of production during a ""surge"" situation. It is not necessarily the same as the Economic Production Rate."
 MLDT,Mean Logistics Delay Time,"Indicator of the average time a system is awaiting maintenance and generally includes time for locating parts and tools; locating, setting up, or calibrating test equipment; dispatching personnel; reviewing technical manuals; complying with supply procedures; and awaiting transportation. The MLDT largely depends upon the Logistics Support (LS) structure and environment."
 MMT,Mean Maintenance Time,"A basic measure of maintainability taking into account maintenance policy. The sum of preventive and corrective maintenance times, divided by the sum of scheduled and unscheduled maintenance events, during a stated period of time."
 MTBF,Mean Time Between Failure,A basic measure of reliability for repairable items. The mean number of life units during which all parts of the item perform within their specified limits during a particular measurement interval under stated conditions.
 MTBM,Mean Time Between Maintenance,"A measure of reliability that represents the average time between all maintenance actions, both corrective and preventive."
 MTTR,Mean Time to Repair,"The total elapsed time (clock hours) for corrective maintenance divided by the total number of corrective maintenance actions during a given period. A basic technical measure of maintainability recommended for use contractual specification environments, where “time” and “repair” must be carefully defined for contractual compliance purposes."
 MOE,Measure of Effectiveness,"An indicator used to measure a current system state, with change indicated by comparing multiple observations over time."
 MOP,Measure of Performance,An indicator used to measure a friendly action that is tied to measuring task accomplishment.
 MOS,Measure of Suitability,"Measure of an item's ability to be supported in its intended operational environment. MOSs typically relate to readiness or operational availability and, hence, reliability, maintainability, and the item's support structure."
 MOA,Memorandum of Agreement,"1.) In contract administration, an agreement between a Program Manager (PM) and a Contract Administration Office (CAO) establishing the scope of responsibility of the CAO with respect to the Earned Value Management System (EVMS) criteria surveillance functions and objectives, and/or other contract administration functions on a specific contract or program. 2.) Any written agreement in principle as to how a program will be administered."
 MOU,Memorandum of Understanding,De facto agreement generally recognized by all partners as binding even if no legal claim could be based on the rights and obligations delineated therein.
,Metadata,"Information describing the characteristics of data, data or information about data, or descriptive information about an entity's data, data activities, systems, and holdings. For example, discovery metadata is a type of metadata that allows data assets to be found using enterprise search capabilities. Metadata can be structural (specifying the format structure), semantic (specifying the meaning), or descriptive (providing amplifying or interpretive information) for data, information, or IT services."
,Methods Engineering,"The technique that subjects each operation of a given piece of work to close analysis to eliminate every unnecessary element or operation and to approach the quickest and best method of performing each necessary element or operation. It includes the improvement and standardization of methods, equipment, and working conditions; operator training; the determination of standard times; and occasionally devising and administering various incentive plans."
,Methods Study,"Systematic recording of all activities performed in a job or position of work, including standard times for the work performed. Work simplification notes are written during the study."
,Metrics,"Parameters or measures of quantitative assessment used for measurement, comparison or to track performance or production."
,Micro-Purchase,"An acquisition of supplies or services using simplified acquisition procedures, the aggregate amount of which does not exceed the micro-purchase threshold. “Micro-purchase threshold” means $3,000, except in the following cases it means— (1) For acquisitions of construction subject to the Davis-Bacon Act, $2,000; (2) For acquisitions of services subject to the Service Contract Act, $2,500; and (3) For acquisitions of supplies or services that, as determined by the head of the agency, are to be used to support a contingency operation or to facilitate defense against or recovery from nuclear, biological, chemical, or radiological attack, except for construction subject to the Davis-Bacon Act (i) $20,000 in the case of any contract to be awarded and performed, or any purchase to be made, inside the United States; and (ii) $35,000 in the case of any contract to be awarded and performed, or purchase to be made, outside the United States"
,Midpoint Pricing,Uses a single set of rates that are the average of a pricing future period in lieu of progressively escalated rates to develop an escalated price estimate.
,Midyear Review,An update of the President's original budget proposal by the Office of Management and Budget (OMB) and submitted to Congress by July 15. An examination of specific portions of the budget by the comptroller at approximately the middle of a Fiscal Year (FY). Primary examination of Operations and Maintenance (O&M) appropriations. Also used to release or expedite funding.
 MDA,Milestone Decision Authority (MDA),"Designated individual with overall responsibility for a program. The MDA will have the authority to approve entry of an acquisition program into the next phase of the acquisition process and shall be accountable for cost, schedule, and performance reporting to higher authority, including Congressional reporting."
,Milestone Decisions,"The point at which a recommendation is made and approval sought regarding starting or continuing an acquisition program, i.e., proceeding to the next phase. Milestones established by DoDI 5000.85 are: Milestone A that approves entry into the Technology Maturation and Risk Reduction (TMRR) phase, Milestone B that approves entry into the Engineering and Manufacturing Development (EMD) phase, and Milestone C that approves entry into the Production and Deployment (P&D) phase."
,Militarily Useful Capability,"A capability that achieves military objectives through operational effectiveness, suitability, and availability, which is interoperable with related systems and processes, transportable and sustainable when and where needed, and at costs known to be affordable over the long term."
 MAP,Military Assistance Program,"The U.S. program for providing military assistance under the Foreign Assistance Act (FAA) of 1961, as amended, and the Foreign Military Sales Act (FMSA) of 1968."
 MDCO,Military Department Counterintelligence Organization,"Elements of the Military Departments authorized to conduct counterintelligence (CI) investigations and offensive CI operations, i.e., Army CI, Naval Criminal Investigative Service, and the Air Force Office of Special Investigations."
 MIPR,Military Interdepartmental Purchase Request,"An order issued by one military service to another to procure services, supplies, or equipment for the requiring service. The MIPR (DD Form 448) may be accepted on a direct citation or reimbursable basis."
 MILPERS,Military Personnel Appropriation,MILPERS is a congressional appropriation that funds salaries and other compensation for uniformed military personnel. MILPERS follows the Department's Annual Funding budget policy. MILPERS appropriations are available for obligation purposes for one year.
,Military Property,"Government-owned property designed for military operations. It includes end items and integral components of military weapons systems, along with the related peculiar support equipment, which is not readily available as a commercial item (CI). It does not include government material, special test equipment, special tooling, or facilities."
 MILSTD,Military Standard,"A document that establishes uniform engineering and technical requirements for military-unique or substantially modified commercial processes, procedures, practices, and methods. There are five types of defense standards: interface standards, design criteria standards, manufacturing process standards, standard practices, and test method standards. Reference (y) covers the content and format for defense standards."
,Minimum Buy,The purchase of material in standard bulk quantities even though the contract requirement is less than the standard quantity. This is done when price does not increase proportionately for quantities less than the standard quantity.
 MVCR,Minimum Viable Capability Release,​The initial set of features suitable to be fielded to an operational environment that provides value to the warfighter or end user in a rapid timeline. The MVCR delivers initial warfighting capabilities to enhance some mission outcomes. The MVCR is analogous to a minimum marketable product in commercial industry.
 MVP,Minimum Viable Product,"​An early version of the software to deliver or field basic capabilities to users to evaluate and provide feedback on. Insights from MVPs help shape scope, requirements, and design."
 MDEB,Missile Defense Executive Board,"Recommends and oversees implementation of strategic policies and plans, program priorities, and investment options to protect the United States and its allies from missile attack; and promotes continued improvement of a ballistic missile defense (BMD) capability. Chaired by the Under Secretary of Defense for Acquisition, Technology and Logistics (USD(AT&L)). The Director of the Missile Defense Agency (MDA) provides the executive secretary."
,Mission,"The objective or task, together with the purpose, which clearly indicates the action to be taken."
 DARS,Mission Area Architecture Federation Portal (WMA/AFIP),The DOD architecture registry provides web-based access to architecture artifacts for sharing and collaboration. Replaced by Warfighting Mission Area Architecture Federation Portal (WMA/AFIP) https://wmaafip.csd.disa.mil
,Mission Assurance,"A process to protect or ensure the continued function and resilience of capabilities and assets—including personnel, equipment, facilities, networks, information and information systems, infrastructure, and supply chains—critical to the performance of DOD mission-essential functions (MEF) in any operating environment or condition. It leverages existing protection and resilience programs, including but not limited to, antiterrorism, physical security, defense critical infrastructure, and information assurance."
,Mission Element,A segment of a mission area critical to the accomplishment of the mission area objectives and corresponding to a recommendation for a major system capability as determined by a DoD component.
,Mission Engineering,"The deliberate planning, analyzing, organizing, and integrating of current and emerging operational and system capabilities to achieve desired warfighting mission effects."
,Mission Equipment,Any item that is a functional part of a system or subsystem and is required to perform mission operations.
 MP,Mission Profile,"Contains a time-phased, detailed description of the operational events (equipment usage) and environments (natural and man-made) that a formation or system experiences from the beginning to the end of a specific mission. There is a MP for each mission/combat operation in the equipment's wartime Operational Mode Summary (OMS). The Army and Marine Corps normally provide the OMS and Mission Profile (MP) in one document."
,Mission Reliability,The probability that a system will perform its required mission-critical functions for the duration of a specified mission under conditions stated in the mission profile. It defines the probability that the system will not fail to complete the mission considering all possible redundant modes of operation.
 MRB,Mission Requirements Board,"Manages the national requirements process that reviews, validates, and approves national requirements for future intelligence capabilities and systems. It is the senior validation and approval authority for future intelligence systems funded within the National Foreign Intelligence Program (NFIP), and provides advice and counsel on future requirements funded outside that body."
 MCCR,Mission-Critical Computer Resources,"Computer resources whose function, operation, or use involves intelligence activities, cryptologic activities related to national security, command and control of military forces, equipment that is an integral part of a weapon or weapon system, or is critical to direct fulfillment of military or intelligence missions."
,Mission-Critical Information System,"A system that meets the definitions of “information system” and “National Security System” (NSS) in the Clinger-Cohen Act (CCA), the loss of which would cause the stoppage of warfighter operations or direct mission support of warfighter operations. The designation of mission critical should be made by a component head, a combatant commander (CCDR), or designee."
,Mission-Critical System,"A system whose operational effectiveness and operational suitability are essential to successful completion or to aggregate residual combat capability. If this system fails, the mission likely will not be completed. Such a system can be an auxiliary or supporting system as well as a primary mission system."
,Mission-Essential Information System,"A system that meets the definition of “information system” in the Clinger-Cohen Act (CCA), that the acquiring component head or designee determines is basic and necessary for the accomplishment of the organizational mission. The designation of mission essential should be made by the component head, a combatant commander (CCDR), or designee."
,Mobilization Base,"The total of all resources available, or which can be made available, to meet foreseeable wartime needs."
,Mock Up,"A model, built to scale, of a machine, apparatus, or weapon. It is used in examining the construction or critical clearances, in testing a new development, or in teaching personnel how to operate or maintain the actual machine, apparatus, or weapon."
